quote,author,source
"“All I'm trying to say is that if you're not willing to observe this, if you're just going to condemn it, you're never going to see it. It's there, whether you like it or not. This is stupid life-force we're dealing with here,"" he said. ""Think how old it is, Jim. Think how huge it is. Understanding it doesn't make any difference.”",Jim Paul,Catapult: Harry and I Build a Siege Weapon
"“We are so ashamed of who we are, yet we are not too ashamed to be someone else.”",Anthony T. Hincks,
"“One has to seek out pleasurable sensations, in the absence of which blandness comes naturally. The upshot of this is that we must continually work at keeping suffering (including tedium) at bay, and we can do so only imperfectly. Dissatisfaction does and must pervade life. There are moments, perhaps even periods, of satisfaction, but they occur against a background of dissatisﬁed striving.”",David Benatar,Better Never to Have Been: The Harm of Coming into Existence
"“Actually it is quite devastating to realise how few people ever think at all. They mostly take their ideas from what they are told on the wireless, television, or in the newspapers, from people who are prepared to take a reasonable fee. To suggest anything different makes you tread on many corns of vested interest. No professional pathfinder likes you for doing it.”",Thomas Charles Lethbridge,The Power of the Pendulum
“Even if there is a small lie in the truth you telling. It will make the truth questionable.”,De_philosopher_DJKyos,
“UNDIVIDED,Suzy Kassem,Rise Up and Salute the Sun: The Writings of Suzy Kassem
“Whenever a soul leaves the body a void is felt across the world..”,Anonymous,
"“Nothing' isn't better or worse than anything. Nothing is just... nothing."" Arya Stark”",George R. R. Martin,
“When something is dirty you wash it. That's what my mum always said.,Anthony T.Hincks,
“You are the softness of the morning dew!”,Avijeet Das,
"“The most insulting aspect of insincere people is that while they're pretending to be something other than what they are, they're inherently positing a different reality to you.”",Daniel V Chappell,
"“When the school of thought is divided, the sharks shall swim in, and take their share.”",Anthony T. Hincks,
"“For over a century and a half, anarchists have been arguing that coercive, hierarchical organization (as embodied in government and corporations) is not equivalent to organization per se (which they regard as necessary), and that coercive organization should be replaced by decentralized, nonhierarchical organization based on voluntary cooperation and mutual aid. This is hardly a rejection of organization.”",Chaz Bufe,Anarchism: What It Is & What It Isn't
"“Silence is nice to have if you wanted it, but maddening if you didn't.”",Daniel V Chappell,
“Your comfort zone is a place where you keep yourself in a self-illusion and nothing can grow there but your potentiality can grow only when you can think and grow out of that zone.”,Rashedur Ryan Rahman,
